144/42/12/90
642/190/36/416
2/0/1/1
2/0/1/1
135/11/28/96
6/2/2/2
4835/1224/2832/779
1350/25/1211/114
20/3/13/4
16/7/7/2
10/2/5/3
14/5/5/4
4/1/0/3
4/1/0/3
4/1/0/3
425/116/252/57

65/8/5/52
990/57/204/729
6/1/3/2



232/5/190/37
9/0/0/9
10/4/2/4

23/3/3/17
159/9/17/133
4/1/2/1



8/3/1/4
2/0/0/2

4/2/0/2
8/2/2/4
393/126/35/232
4/0/1/3

2310/316/1609/385

6/4/1/1

21/12/3/6
803/21/250/532
8/4/1/3
6/2/3/1
959/5/846/108
9/4/4/1
483/273/54/156

2/1/0/1
457/233/10/214
96/7/76/13
803/12/716/75
9/2/6/1
1820/64/1200/556


17/7/5/5

7/4/1/2
5/1/2/2
47/5/20/22
34/23/2/9

91/39/26/26
962/9/842/111
52/3/3/46
468/60/47/361
1545/300/896/349
81/18/42/21
16557/1708/8710/6139
175/20/44/111
120/41/54/25
546/10/496/40
10/3/0/7
4/1/0/3
417/175/229/13
2017/327/389/1301

4/2/0/2
13/4/1/8

8/2/3/3
1/1/0/0
10/3/5/2

7/3/3/1
5/3/0/2
842/8/744/90
8/3/4/1

3/1/0/2
3/1/2/0

6/3/2/1

6/2/3/1



7/4/2/1

5/3/1/1



5/1/2/2

10/5/4/1

9/2/5/2



10/3/2/5


0/0/0/0

253/173/35/45
78/41/14/23


54/24/19/11
72/10/13/49
94/26/12/56
560/92/180/288
240/61/34/145
91/39/26/26
204/34/56/114
62/28/25/9

27/16/3/8
