85/38/21/26
31/16/14/1

144/42/12/90
656/190/36/430
2/0/1/1
2/0/1/1
142/12/28/102
6/2/2/2
5391/1268/3175/948
1351/25/1211/115
20/3/13/4
17/8/7/2
12/2/7/3
14/5/5/4
4/1/0/3
31/14/8/9
55/4/37/14
474/123/289/62
11/8/2/1
1355/34/1262/59
4/0/1/3

65/8/5/52
1006/58/206/742
6/1/3/2



246/5/200/41
10/0/0/10
10/4/2/4
9/4/4/1
1/0/0/1

23/3/3/17
162/9/17/136
4/1/2/1



9/3/1/5
3/0/0/3
10/7/2/1
2/0/0/2

4/2/0/2
8/2/2/4
404/126/35/243
4/0/1/3

2315/317/1612/386

7/4/2/1
8/4/2/2
0/0/0/0

21/12/3/6
808/21/250/537
8/4/1/3
6/2/3/1
961/5/846/110
9/4/4/1
484/273/54/157
13/9/3/1
1/0/0/1

2/1/0/1
461/233/10/218
96/7/76/13
804/12/716/76
9/2/6/1
1833/64/1205/564
5/1/4/0
1/0/0/1


17/7/5/5

7/4/1/2
5/1/2/2
53/6/21/26
34/23/2/9
5/1/0/4
8/6/1/1
3/0/0/3

98/44/28/26
967/9/842/116
61/3/3/55
483/60/47/376
2365/362/1418/585
82/18/42/22
17684/1869/9257/6558
191/24/48/119
121/41/55/25
551/10/500/41
31/18/0/13
35/2/22/11
418/175/230/13
2040/328/390/1322
32/14/15/3
1/0/0/1

4/2/0/2
13/4/1/8

8/2/3/3
1/1/0/0
10/3/5/2

7/3/3/1
5/3/0/2
844/8/744/92
8/3/4/1
13/5/7/1
1/0/0/1

0/0/0/0
0/0/0/0

6/3/2/1
6/3/2/1
1/0/0/1

6/2/3/1
6/3/2/1
1/0/0/1



7/4/2/1
9/0/0/9

6/3/1/2



5/1/2/2

11/6/4/1

9/2/5/2



10/3/2/5


0/0/0/0

254/173/35/46
79/41/14/24


54/24/19/11
74/10/13/51
96/26/12/58
569/93/182/294
247/61/34/152
98/44/28/26
204/34/56/114
68/29/27/12

27/16/3/8
