144/42/12/90
650/190/36/424
2/0/1/1
2/0/1/1
140/12/28/100
6/2/2/2
5371/1267/3159/945
1350/25/1211/114
20/3/13/4
16/7/7/2
12/2/7/3
14/5/5/4
4/1/0/3
31/14/8/9
54/4/36/14
471/123/289/59
10/8/1/1
1319/34/1231/54

65/8/5/52
1000/58/206/736
6/1/3/2



238/5/194/39
10/0/0/10
10/4/2/4

23/3/3/17
161/9/17/135
4/1/2/1



8/3/1/4
2/0/0/2

4/2/0/2
8/2/2/4
399/126/35/238
4/0/1/3

2313/317/1610/386

6/4/1/1

21/12/3/6
807/21/250/536
8/4/1/3
6/2/3/1
959/5/846/108
9/4/4/1
483/273/54/156
13/9/3/1

2/1/0/1
459/233/10/216
96/7/76/13
803/12/716/75
9/2/6/1
1825/64/1204/557


17/7/5/5

7/4/1/2
5/1/2/2
51/6/21/24
34/23/2/9
5/1/0/4

91/39/26/26
966/9/842/115
59/3/3/53
476/60/47/369
2316/353/1391/572
81/18/42/21
17076/1778/8976/6322
181/20/46/115
121/41/55/25
547/10/497/40
30/17/0/13
35/2/22/11
418/175/230/13
2036/327/390/1319
31/14/15/2

4/2/0/2
13/4/1/8

8/2/3/3
1/1/0/0
10/3/5/2

7/3/3/1
5/3/0/2
842/8/744/90
8/3/4/1

3/1/0/2
3/1/2/0

6/3/2/1

6/2/3/1



7/4/2/1
8/0/0/8

5/3/1/1



5/1/2/2

10/5/4/1

9/2/5/2



10/3/2/5


0/0/0/0

254/173/35/46
79/41/14/24


54/24/19/11
74/10/13/51
96/26/12/58
565/93/180/292
246/61/34/151
91/39/26/26
204/34/56/114
66/29/26/11

27/16/3/8
